Running command: vulture C:\Users\System 8\FOD --min-confidence 60
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\functools.py:97: unused method 'cache_parameters' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:72: unused function 'pytest_addoption' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:80: unused function 'pytest_configure' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:99: unused function 'pytest_fixture_setup' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:148: unused function 'pytest_pycollect_makeitem' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:166: unused function 'pytest_pyfunc_call' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:208: unused function 'anyio_backend_name' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:216: unused function 'anyio_backend_options' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:295: unused function 'free_tcp_port' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\pytest_plugin.py:300: unused function 'free_udp_port' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\streams\memory.py:31: unused variable 'current_buffer_used' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\streams\memory.py:34: unused variable 'open_send_streams' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\streams\memory.py:35: unused variable 'open_receive_streams' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\streams\memory.py:37: unused variable 'tasks_waiting_send' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\anyio\streams\memory.py:39: unused variable 'tasks_waiting_receive' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\appdirs.py:560: unused import 'win32com' (90% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\server.py:11: unused class 'StatelessServer' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\server.py:93: unused method 'get_or_create_application_instance' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\server.py:164: unused variable 'application_details' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\sync.py:72: unused class 'AsyncSingleThreadContext' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\testing.py:9: unused class 'ApplicationCommunicator' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\testing.py:89: unused method 'send_input' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\testing.py:100: unused method 'receive_output' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\testing.py:123: unused method 'receive_nothing' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\timeout.py:73: unused property 'expired' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\typing.py:68: unused variable 'asgi' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\typing.py:85: unused variable 'asgi' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\typing.py:102: unused variable 'asgi' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\typing.py:116: unused class 'HTTPResponseDebugEvent' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\typing.py:125: unused variable 'trailers' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\typing.py:137: unused variable 'more_trailers' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\asgiref\wsgi.py:7: unused class 'WsgiToAsgi' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\django_client\apps.py:20: unused method 'authorize_redirect' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\django_client\apps.py:36: unused method 'authorize_access_token' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\django_client\apps.py:60: unused method 'authorize_access_token' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\django_oauth1\authorization_server.py:59: unused method 'check_authorization_request' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\django_oauth1\resource_protector.py:57: unused attribute 'oauth1_credential' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\django_oauth2\endpoints.py:41: unused attribute 'revoked' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_client\apps.py:42: unused method 'authorize_redirect' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_client\apps.py:57: unused method 'authorize_access_token' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_client\apps.py:82: unused method 'authorize_access_token' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_oauth1\authorization_server.py:147: unused method 'check_authorization_request' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_oauth1\cache.py:4: unused function 'register_temporary_credential_hooks' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_oauth1\cache.py:77: unused function 'register_nonce_hooks' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_oauth1\resource_protector.py:94: unused attribute 'authlib_server_oauth1_credential' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_oauth1\resource_protector.py:121: unused variable 'current_credential' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\flask_oauth2\resource_protector.py:75: unused attribute 'authlib_server_oauth2_token' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:46: unused method 'set_client_metadata' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:69: unused property 'client_name' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:73: unused property 'client_uri' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:77: unused property 'logo_uri' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:89: unused property 'tos_uri' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:93: unused property 'policy_uri' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:105: unused property 'software_id' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\client_mixin.py:109: unused property 'software_version' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\sqla_oauth2\tokens_mixins.py:65: unused method 'get_expires_in' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\starlette_client\apps.py:25: unused method 'authorize_redirect' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\starlette_client\apps.py:44: unused method 'authorize_access_token' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\integrations\starlette_client\apps.py:65: unused method 'authorize_access_token' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\jose\drafts\_jwe_algorithms.py:214: unused function 'register_jwe_alg_draft' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\jose\rfc7517\asymmetric_key.py:17: unused variable 'PRIVATE_KEY_FIELDS' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\jose\rfc7517\asymmetric_key.py:148: unused method 'as_pem' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\jose\rfc7517\asymmetric_key.py:151: unused method 'as_der' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\jose\rfc7518\ec_key.py:40: unused variable 'PRIVATE_KEY_FIELDS' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\jose\rfc7518\rsa_key.py:26: unused variable 'PRIVATE_KEY_FIELDS' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\jose\rfc8037\okp_key.py:41: unused variable 'PRIVATE_KEY_FIELDS' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth1\client.py:136: unused method 'parse_authorization_response' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth1\rfc5849\authorization_server.py:70: unused method 'create_temporary_credentials_response' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth1\rfc5849\base_server.py:25: unused method 'register_signature_method' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth1\rfc5849\client_auth.py:24: unused variable 'CONTENT_TYPE_MULTI_PART' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth1\rfc5849\client_auth.py:34: unused method 'register_signature_method' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth1\rfc5849\errors.py:41: unused class 'UnsupportedParameterError' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\client.py:392: unused method 'register_compliance_hook' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\authorization_server.py:198: unused method 'register_grant' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\authorization_server.py:217: unused method 'register_endpoint' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\authorization_server.py:250: unused method 'get_consent_grant' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\grants\base.py:111: unused variable 'ERROR_RESPONSE_FRAGMENT' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\grants\implicit.py:73: unused variable 'AUTHORIZATION_ENDPOINT' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\grants\implicit.py:79: unused variable 'ERROR_RESPONSE_FRAGMENT' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\models.py:192: unused method 'get_expires_in' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc6749\resource_protector.py:92: unused method 'register_token_validator' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc7523\client.py:18: unused variable 'CLIENT_ASSERTION_TYPE' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc7523\client.py:99: unused variable 'jti' (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc7523\validator.py:21: unused method 'get_expires_in' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc7662\models.py:11: unused method 'get_expires_in' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc7662\models.py:16: unused method 'get_expires_at' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:38: unused method 'validate_issuer' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:59: unused method 'validate_authorization_endpoint' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:75: unused method 'validate_token_endpoint' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:109: unused method 'validate_registration_endpoint' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:117: unused method 'validate_scopes_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:125: unused method 'validate_response_types_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:138: unused method 'validate_response_modes_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:148: unused method 'validate_grant_types_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:158: unused method 'validate_token_endpoint_auth_methods_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:168: unused method 'validate_token_endpoint_auth_signing_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:185: unused method 'validate_service_documentation' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:197: unused method 'validate_ui_locales_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:205: unused method 'validate_op_policy_uri' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:220: unused method 'validate_op_tos_uri' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:234: unused method 'validate_revocation_endpoint' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:242: unused method 'validate_revocation_endpoint_auth_methods_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:253: unused method 'validate_revocation_endpoint_auth_signing_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:270: unused method 'validate_introspection_endpoint' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:278: unused method 'validate_introspection_endpoint_auth_methods_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:291: unused method 'validate_introspection_endpoint_auth_signing_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:308: unused method 'validate_code_challenge_methods_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc8414\models.py:320: unused property 'response_modes_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc9068\token.py:162: unsatisfiable 'if' condition (100% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oauth2\rfc9101\authorization_server.py:208: unused method 'resolve_client_public_keys' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\core\errors.py:4: unused class 'InteractionRequiredError' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\core\errors.py:56: unused class 'InvalidRequestURIError' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\core\errors.py:78: unused class 'RequestURINotSupportedError' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\core\errors.py:84: unused class 'RegistrationNotSupportedError' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:59: unused method 'validate_acr_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:65: unused method 'validate_subject_types_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:83: unused method 'validate_id_token_signing_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:109: unused method 'validate_id_token_encryption_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:116: unused method 'validate_id_token_encryption_enc_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:123: unused method 'validate_userinfo_signing_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:130: unused method 'validate_userinfo_encryption_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:137: unused method 'validate_userinfo_encryption_enc_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:144: unused method 'validate_request_object_signing_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:162: unused method 'validate_request_object_encryption_alg_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:170: unused method 'validate_request_object_encryption_enc_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:178: unused method 'validate_display_values_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:194: unused method 'validate_claim_types_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:212: unused method 'validate_claims_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:220: unused method 'validate_claims_locales_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:228: unused method 'validate_claims_parameter_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:235: unused method 'validate_request_parameter_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:242: unused method 'validate_request_uri_parameter_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:249: unused method 'validate_require_request_uri_registration' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:257: unused property 'claim_types_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:262: unused property 'claims_parameter_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:267: unused property 'request_parameter_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:272: unused property 'request_uri_parameter_supported' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\authlib\oidc\discovery\models.py:277: unused property 'require_request_uri_registration' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\blacklists\calls.py:346: unused function 'gen_blacklist' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\blacklists\imports.py:234: unused function 'gen_blacklist' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\cli\baseline.py:172: unused attribute 'suggest_on_error' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\cli\config_generator.py:15: unused variable 'PROG_NAME' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\cli\config_generator.py:80: unused attribute 'suggest_on_error' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\cli\main.py:19: unused variable 'BASE_CONFIG' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\cli\main.py:104: unused function '_running_under_virtualenv' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\cli\main.py:159: unused attribute 'suggest_on_error' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\core\config.py:103: unused method 'get_setting' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\core\constants.py:24: unused variable 'FALSE_VALUES' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\core\context.py:124: unused property 'string_val_as_escaped_bytes' (60% confidence)
C:\Users\System 8\FOD\.venv\Lib\site-packages\bandit\core\context.py:276: unused method 'is_module_being_imported' (60% confidence)
